NTEE-CC,NTEEV2,Description,Extended Description,Policy Area
C60,RG-ENV-C60,"Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance. 
",NA,Unmapped
C99,RG-ENV-C99,Use this code for organizations that clearly provide environmental quality services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
D01,AA-ENV-D00,Alliance/Advocacy Organizations,NA,Unmapped
D0120,AA-ENV-D20,Alliance/Advocacy Organizations,"Providing support to organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals.",Unmapped
D0130,AA-ENV-D30,Alliance/Advocacy Organizations,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D02,MT-ENV-D00,Management and Technical Assistance,NA,Unmapped
D0230,MT-ENV-D30,Management and Technical Assistance,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D0250,MT-ENV-D50,Management and Technical Assistance,"Providing support to organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing.",Unmapped
D03,PA-ENV-D00,Professional Societies/Associations,NA,Unmapped
D0330,PA-ENV-D30,Professional Societies/Associations,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D0340,PA-ENV-D40,Professional Societies/Associations,"Providing support to organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems.",Unmapped
D05,RP-ENV-D00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
D0530,RP-ENV-D30,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D11,MS-ENV-D00,Monetary Support - Single Organization,NA,Unmapped
D1120,MS-ENV-D20,Monetary Support - Single Organization,"Providing support to organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals.",Unmapped
D1130,MS-ENV-D30,Monetary Support - Single Organization,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D1131,MS-ENV-D31,Monetary Support - Single Organization,"Providing support to organizations that identify and promote laws for the protection of species of birds, animals, fish or other wildlife that are at risk of extinction; and/or which sponsor programs for breeding endangered species in captivity and releasing them to selected habitats in the wild in which they are given a better chance for survival.",Unmapped
D1150,MS-ENV-D50,Monetary Support - Single Organization,"Providing support to organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing.",Unmapped
D12,MM-ENV-D00,Monetary Support - Multiple Organizations,NA,Unmapped
D1230,MM-ENV-D30,Monetary Support - Multiple Organizations,"Providing support to organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",Unmapped
D1240,MM-ENV-D40,Monetary Support - Multiple Organizations,"Providing support to organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems.",Unmapped
D19,NS-ENV-D00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
D20,RG-ENV-D20,"Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals.",NA,Unmapped
D30,RG-ENV-D30,"Organizations that are responsible for the conservation, protection, care and management of fish and wildlife resources and their habitats. Use this code for organizations that provide wildlife preservation services not specified below or which deal with multiple populations of wildlife.",NA,Unmapped
D31,RG-ENV-D31,"Organizations that identify and promote laws for the protection of species of birds, animals, fish or other wildlife that are at risk of extinction; and/or which sponsor programs for breeding endangered species in captivity and releasing them to selected habitats in the wild in which they are given a better chance for survival.",NA,Unmapped
D32,RG-ENV-D32,"Organizations that provide for the conservation, protection and management of different species of wild birds by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.",NA,Unmapped
D33,RG-ENV-D33,"Organizations that provide for the conservation, protection and management of different species of fish by establishing coastal, lake, reservoir or other inland fisheries where different species of fish are hatched in protected environments and used to stock public waters that have been depleted.",NA,Unmapped
D34,RG-ENV-D34,"Organizations that provide for the conservation, protection and management of different species of wild animals by establishing a system of preserves that are set aside for their habitation and protected from human depredation and interference.",NA,Unmapped
D40,RG-ENV-D40,"Organizations that provide preventive, diagnostic and treatment services for animals that have illnesses, injuries or emotional problems; and which put to sleep animals that are aged or in severe pain because of untreatable health problems.",NA,Unmapped
D50,RG-ENV-D50,"Organizations that house collections of living animals, birds, reptiles, living aquatic plants and animals including fish, shellfish, and shore birds, insects and other wildlife for the purpose of study and public viewing.",NA,Unmapped
D60,RG-ENV-D60,Organizations that offer services which help individuals develop an understanding of the animal species in which they have an interest and/or to work more effectively with their pets.,NA,Unmapped
D61,RG-ENV-D61,Organizations that provide classes for people who want to develop a basic understanding and control of their pets [These are typically section 501(c)(7) exempt organizations].,NA,Unmapped
D99,RG-ENV-D99,Use this code for organizations that clearly provide animal-related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Unmapped
E01,AA-HEL-E00,Alliance/Advocacy Organizations,NA,Unmapped
E0121,AA-HEL-E21,Alliance/Advocacy Organizations,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Medicaid
E0122,AA-HEL-E22,Alliance/Advocacy Organizations,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E0131,AA-HEL-E31,Alliance/Advocacy Organizations,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",Medicaid
E0132,AA-HEL-E32,Alliance/Advocacy Organizations,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",Medicaid
E0170,AA-HEL-E70,Alliance/Advocacy Organizations,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Medicaid
E02,MT-HEL-E00,Management and Technical Assistance,NA,Medicaid
E0220,MT-HEL-E20,Management and Technical Assistance,Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Medicaid
E0221,MT-HEL-E21,Management and Technical Assistance,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Medicaid
E0222,MT-HEL-E22,Management and Technical Assistance,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E0262,MT-HEL-E62,Management and Technical Assistance,"Providing support to organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.
",Medicaid
E0290,MT-HEL-E90,Management and Technical Assistance,Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,Medicaid
E0292,MT-HEL-E92,Management and Technical Assistance,"Providing support to visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.",Medicaid
E03,PA-HEL-E00,Professional Societies/Associations,NA,Medicaid
E0321,PA-HEL-E21,Professional Societies/Associations,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Medicaid
E0322,PA-HEL-E22,Professional Societies/Associations,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E0365,PA-HEL-E65,Professional Societies/Associations,"Providing support to organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations.",Medicaid
E0380,PA-HEL-E80,Professional Societies/Associations,Providing support to organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.,Medicaid
E0390,PA-HEL-E90,Professional Societies/Associations,Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,Medicaid
E0392,PA-HEL-E92,Professional Societies/Associations,"Providing support to visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.",Medicaid
E05,RP-HEL-E00,Research Institutes and/or Public Policy Analysis,NA,Medicaid
E0520,RP-HEL-E20,Research Institutes and/or Public Policy Analysis,Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Medicaid
E0522,RP-HEL-E22,Research Institutes and/or Public Policy Analysis,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E0531,RP-HEL-E31,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",Medicaid
E0532,RP-HEL-E32,Research Institutes and/or Public Policy Analysis,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",Medicaid
E0570,RP-HEL-E70,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Medicaid
E11,MS-HEL-E00,Monetary Support - Single Organization,NA,Medicaid
E1120,MS-HEL-E20,Monetary Support - Single Organization,Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Medicaid
E1121,MS-HEL-E21,Monetary Support - Single Organization,"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Medicaid
E1122,MS-HEL-E22,Monetary Support - Single Organization,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E1131,MS-HEL-E31,Monetary Support - Single Organization,"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",Medicaid
E1132,MS-HEL-E32,Monetary Support - Single Organization,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",Medicaid
E1150,MS-HEL-E50,Monetary Support - Single Organization,"Providing support to organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society.",Medicaid
E1170,MS-HEL-E70,Monetary Support - Single Organization,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Unmapped
E1180,MS-HEL-E80,Monetary Support - Single Organization,Providing support to organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.,Medicaid
E1186,MS-HEL-E86,Monetary Support - Single Organization,"Providing support to organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)",Medicaid
E1190,MS-HEL-E90,Monetary Support - Single Organization,Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,Medicaid
E1191,MS-HEL-E91,Monetary Support - Single Organization,"Providing support to inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.",Medicaid
E12,MM-HEL-E00,Monetary Support - Multiple Organizations,NA,Medicaid
E1220,MM-HEL-E20,Monetary Support - Multiple Organizations,Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Medicaid
E1222,MM-HEL-E22,Monetary Support - Multiple Organizations,"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E1232,MM-HEL-E32,Monetary Support - Multiple Organizations,"Providing support to outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",Medicaid
E1270,MM-HEL-E70,Monetary Support - Multiple Organizations,"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Unmapped
E1286,MM-HEL-E86,Monetary Support - Multiple Organizations,"Providing support to organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)",Medicaid
E1290,MM-HEL-E90,Monetary Support - Multiple Organizations,Providing support to organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,Medicaid
E1291,MM-HEL-E91,Monetary Support - Multiple Organizations,"Providing support to inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.",Medicaid
E19,NS-HEL-E00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Medicaid
E1920,NS-HEL-E20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),Providing support to twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,Medicaid
E1921,NS-HEL-E21,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",Medicaid
E1922,NS-HEL-E22,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",Medicaid
E1931,NS-HEL-E31,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",Medicaid
E1970,NS-HEL-E70,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",Unmapped
E20,RG-HOS-E20,Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. Use this code for hospitals not specified below.,NA,Medicaid
E21,RG-HOS-E21,"Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital. (rev. 9/2005)",NA,Medicaid
E22,RG-HOS-E22,"Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.",NA,Medicaid
E24,RG-HOS-E24,Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.,NA,Medicaid
E30,RG-HEL-E30,"Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. Use this code for types of outpatient facilities or services not specified below.",NA,Medicaid
E31,RG-HEL-E31,"Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals.",NA,Medicaid
E32,RG-HEL-E32,"Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents.",NA,Medicaid
E40,RG-HEL-E40,"Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. Use this code for organizations other than family planning centers that offer reproductive health services.",NA,Medicaid
E42,RG-HEL-E42,"Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. Use this code for Planned Parenthood organizations.",NA,Medicaid
E50,RG-HEL-E50,"Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. Use this code for Easter Seal Society.",NA,Medicaid
E60,RG-HEL-E60,"Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. Use this code for organizations that provide a wide range of health support services or which offer services not specified below.",NA,Medicaid
E61,RG-HEL-E61,"Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible.",NA,Medicaid
E62,RG-HEL-E62,"Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.
",NA,Medicaid
E65,RG-HEL-E65,"Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations.",NA,Unmapped
E6A,RG-HEL-E6A,NA,NA,Unmapped
E70,RG-HEL-E70,"Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability.",NA,Unmapped
E80,RG-HEL-E80,Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.,NA,Medicaid
E86,RG-HEL-E86,"Organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant. (rev. 9/2005)",NA,Medicaid
E90,RG-HEL-E90,Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. Use this code for organizations that provide nursing services that are not specified below.,NA,Medicaid
E91,RG-HEL-E91,"Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.",NA,Medicaid
E92,RG-HEL-E92,"Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.",NA,Medicaid
E99,RG-HEL-E99,Use this code for organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.,NA,Medicaid
F01,AA-HEL-F00,Alliance/Advocacy Organizations,NA,Unmapped
F0120,AA-HEL-F20,Alliance/Advocacy Organizations,"Providing support to organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",Medicaid
F0121,AA-HEL-F21,Alliance/Advocacy Organizations,Providing support to organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.,Unmapped
F0132,AA-HEL-F32,Alliance/Advocacy Organizations,"Providing support to neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances.",Medicaid
F0133,AA-HEL-F33,Alliance/Advocacy Organizations,"Providing support to organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate.",Medicaid
F0142,AA-HEL-F42,Alliance/Advocacy Organizations,"Providing support to organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted.",Unmapped
F0153,AA-HEL-F53,Alliance/Advocacy Organizations,"Providing support to organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder.",Medicaid
F0180,AA-HEL-F80,Alliance/Advocacy Organizations,Providing support to organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.,Unmapped
F02,MT-HEL-F00,Management and Technical Assistance,NA,Unmapped
F0220,MT-HEL-F20,Management and Technical Assistance,"Providing support to organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",Medicaid
F03,PA-HEL-F00,Professional Societies/Associations,NA,Unmapped
F0320,PA-HEL-F20,Professional Societies/Associations,"Providing support to organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",Medicaid
F0330,PA-HEL-F30,Professional Societies/Associations,"Providing support to organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. Use this code for types of mental health organizations not specified below or for organizations that combine multiple types of care within the same facility.",Medicaid
F0332,PA-HEL-F32,Professional Societies/Associations,"Providing support to neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances.",Medicaid
F0333,PA-HEL-F33,Professional Societies/Associations,"Providing support to organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate.",Medicaid
F0380,PA-HEL-F80,Professional Societies/Associations,Providing support to organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.,Unmapped
F05,RP-HEL-F00,Research Institutes and/or Public Policy Analysis,NA,Unmapped
F0520,RP-HEL-F20,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",Medicaid
F0521,RP-HEL-F21,Research Institutes and/or Public Policy Analysis,Providing support to organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.,Unmapped
F0522,RP-HEL-F22,Research Institutes and/or Public Policy Analysis,"Providing support to organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs.",Medicaid
F0532,RP-HEL-F32,Research Institutes and/or Public Policy Analysis,"Providing support to neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances.",Medicaid
F11,MS-HEL-F00,Monetary Support - Single Organization,NA,Unmapped
F1130,MS-HEL-F30,Monetary Support - Single Organization,"Providing support to organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. Use this code for types of mental health organizations not specified below or for organizations that combine multiple types of care within the same facility.",Medicaid
F12,MM-HEL-F00,Monetary Support - Multiple Organizations,NA,Unmapped
F19,NS-HEL-F00,Nonmonetary Support Not Elsewhere Classified (N.E.C.),NA,Unmapped
F1920,NS-HEL-F20,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",Medicaid
F1960,NS-HEL-F60,Nonmonetary Support Not Elsewhere Classified (N.E.C.),"Providing support to organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life.",Medicaid
F20,RG-HEL-F20,"Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. Use this code for organizations that provide both substance abuse prevention and treatment services.",NA,Medicaid
F21,RG-HEL-F21,Organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.,NA,Unmapped
F22,RG-HEL-F22,"Organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs.",NA,Medicaid
F30,RG-HEL-F30,"Organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. Use this code for types of mental health organizations not specified below or for organizations that combine multiple types of care within the same facility.",NA,Medicaid
F31,RG-HEL-F31,"Organizations that provide diagnostic and inpatient treatment services for individuals who have acute or chronic mental or emotional disturbances, who require hospitalization.",NA,Medicaid
F32,RG-HEL-F32,"Neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances.",NA,Medicaid
F33,RG-HEL-F33,"Organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate.",NA,Medicaid
F40,RG-HEL-F40,"Organizations that provide in-person or telephone assistance for people who are in acute emotional distress; who are a danger to themselves or to others; who are having suicidal feelings; or who are hysterical, frightened or otherwise unable to cope with a problem that requires immediate action. Use this code for crisis intervention services or hotlines not specified below or for organizations that offer multiple types of crisis intervention, hotline services.",NA,Unmapped
F42,RG-HEL-F42,"Organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted.",NA,Unmapped
F50,RG-HEL-F50,"Organizations that provide counseling, medical treatment (where indicated) and other supportive services for individuals who have a psychological dependency involving a particular pattern of behavior, e.g., spending money, sexual compulsions and workaholic behavior.",NA,Medicaid
